x,y,orientation,condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,.stepSize,.intensity,image_name,global_start_time,global_end_time,pressKey,pressRT,releaseRT,image_started,image_ended,name,globalTime,fixation_dur,cue_dur,stimulation_dur,post_fixation,opacity,orientationResponse_pressKey,orientationResponse_pressRT,orientationResponse_releaseRT,.response,locationResponse_pressKey,locationResponse_pressRT,locationResponse_releaseRT,pasResponse_pressKey,pasResponse_pressRT,pasResponse_releaseRT,finalOpacity,postLoc,postOri,ID,frameRate,
,,,,0,38,-1,0,0.0969100130080564,0.026214400000000006,,,,,,,,,staircase,398.11006680014543,138.0,6.0,2.0,72.0,0.026214400000000006,6,0.7941405000165105,0.973550499882549,1,,,,,,,,,,1905_1145,60.0,
,,,,0,39,-1,0,0.0969100130080564,0.026214400000000006,,,,,,,,,staircase,403.63395490008406,126.0,6.0,2.0,72.0,0.026214400000000006,1,0.9545404999516904,1.1546404999680817,1,,,,,,,,,,1905_1145,60.0,
,,,,0,40,-1,0,0.0969100130080564,0.020971520000000004,,,,,,,,,staircase,408.72163990000263,126.0,6.0,2.0,72.0,0.020971520000000004,0,2.1986412999685854,2.480249800020829,1,,,,,,,,,,1905_1145,60.0,
,,,,0,41,-1,0,0.0969100130080564,0.020971520000000004,,,,,,,,,staircase,415.091549300123,108.0,6.0,2.0,72.0,0.020971520000000004,7,0.5619361998979002,0.7789991998579353,1,,,,,,,,,,1905_1145,60.0,
,,,,0,42,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,419.47801039996557,102.0,6.0,2.0,72.0,0.016777216000000005,6,1.8861072000581771,2.0737985998857766,0,,,,,,,,,,1905_1145,60.0,
,,,,0,43,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,425.204605899984,108.0,6.0,2.0,72.0,0.020971520000000007,7,0.7500133998692036,0.9498487999662757,1,,,,,,,,,,1905_1145,60.0,
,,,,0,44,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,429.80687640002,150.0,6.0,2.0,72.0,0.020971520000000007,1,1.0164364997763187,1.1832631998695433,1,,,,,,,,,,1905_1145,60.0,
,,,,0,45,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,435.3224665001035,96.0,6.0,2.0,72.0,0.016777216000000005,7,0.5480839000083506,0.7803869999479502,1,,,,,,,,,,1905_1145,60.0,
,,,,0,46,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,439.511299100006,102.0,6.0,2.0,72.0,0.016777216000000005,7,1.0138928999658674,1.2318566001486033,0,,,,,,,,,,1905_1145,60.0,
,,,,0,47,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,444.26288580009714,126.0,6.0,2.0,72.0,0.020971520000000007,0,1.4881387001369148,1.6898839001078159,1,,,,,,,,,,1905_1145,60.0,
